is_offer_completed,gender,age,income,became_member_on_year,became_member_on_month,became_member_on_day,reward,difficulty,duration,offer_type,email,mobile,web,social
False,F,118,70598.23,2017,9,14,10,10,5,bogo,True,True,True,True
True,M,39,46000.0,2014,6,15,2,10,10,discount,True,True,True,True
True,F,70,97000.0,2015,8,12,5,20,10,discount,True,False,True,False
False,F,41,77000.0,2016,4,30,0,0,4,informational,True,True,True,False
True,F,69,70000.0,2016,3,27,2,10,7,discount,True,True,True,False
True,M,46,38000.0,2017,3,21,3,7,7,discount,True,True,True,True
False,M,25,65000.0,2018,4,2,10,10,7,bogo,True,True,False,True
False,O,61,98000.0,2016,11,2,0,0,3,informational,True,True,False,True
False,F,57,95000.0,2018,5,18,0,0,3,informational,True,True,False,True
True,F,56,103000.0,2016,8,4,2,10,10,discount,True,True,True,True
False,M,61,33000.0,2013,8,25,10,10,5,bogo,True,True,True,True
True,M,45,74000.0,2015,10,27,10,10,5,bogo,True,True,True,True
False,F,59,56000.0,2015,9,25,0,0,3,informational,True,True,False,True
True,F,118,70598.23,2017,12,4,5,5,5,bogo,True,True,True,True
True,F,91,40000.0,2017,11,11,3,7,7,discount,True,True,True,True
False,M,23,41000.0,2017,11,19,5,5,5,bogo,True,True,True,True
True,F,62,107000.0,2016,9,25,5,5,7,bogo,True,True,True,False
True,F,118,70598.23,2017,7,2,5,5,7,bogo,True,True,True,False
False,M,55,70000.0,2017,10,11,10,10,5,bogo,True,True,True,True
False,M,39,46000.0,2017,9,1,0,0,3,informational,True,True,False,True
True,M,87,46000.0,2015,12,8,3,7,7,discount,True,True,True,True
False,M,76,34000.0,2014,1,21,10,10,5,bogo,True,True,True,True
True,M,64,77000.0,2015,12,3,10,10,5,bogo,True,True,True,True
False,F,118,70598.23,2018,1,4,0,0,3,informational,True,True,False,True
False,F,118,70598.23,2018,7,15,10,10,5,bogo,True,True,True,True
False,M,56,52000.0,2014,8,6,10,10,5,bogo,True,True,True,True
False,F,118,70598.23,2016,12,4,2,10,10,discount,True,True,True,True
False,M,62,86000.0,2016,11,12,0,0,4,informational,True,True,True,False
False,M,97,73000.0,2017,10,29,5,5,5,bogo,True,True,True,True
False,M,53,62000.0,2018,5,17,0,0,4,informational,True,True,True,False
False,M,64,57000.0,2017,8,31,3,7,7,discount,True,True,True,True
True,M,60,54000.0,2017,10,24,10,10,5,bogo,True,True,True,True
True,F,79,113000.0,2016,7,6,5,5,7,bogo,True,True,True,False
True,O,55,79000.0,2018,3,15,5,5,5,bogo,True,True,True,True
True,F,38,39000.0,2018,7,16,2,10,10,discount,True,True,True,True
False,F,59,51000.0,2017,8,21,0,0,4,informational,True,True,True,False
False,F,45,40000.0,2016,2,7,5,5,7,bogo,True,True,True,False
False,M,59,85000.0,2018,1,11,3,7,7,discount,True,True,True,True
False,F,72,93000.0,2018,6,16,0,0,3,informational,True,True,False,True
False,F,53,85000.0,2017,3,30,0,0,3,informational,True,True,False,True
False,M,56,76000.0,2018,1,15,2,10,7,discount,True,True,True,False
False,F,54,86000.0,2017,5,7,0,0,3,informational,True,True,False,True
True,F,28,58000.0,2017,12,12,5,5,5,bogo,True,True,True,True
False,M,22,35000.0,2017,9,14,10,10,5,bogo,True,True,True,True
True,M,36,61000.0,2016,11,24,5,5,7,bogo,True,True,True,False
True,F,118,70598.23,2016,2,29,2,10,10,discount,True,True,True,True
True,M,58,79000.0,2016,3,16,5,20,10,discount,True,False,True,False
True,F,118,70598.23,2016,10,24,2,10,10,discount,True,True,True,True
True,F,71,71000.0,2017,1,24,10,10,7,bogo,True,True,False,True
True,F,34,58000.0,2017,11,2,10,10,5,bogo,True,True,True,True
False,M,63,40000.0,2014,9,25,0,0,3,informational,True,True,False,True
False,F,118,70598.23,2018,2,1,5,20,10,discount,True,False,True,False
True,M,79,73000.0,2017,7,22,10,10,5,bogo,True,True,True,True
False,M,25,40000.0,2017,12,25,5,5,5,bogo,True,True,True,True
True,M,63,47000.0,2014,6,9,2,10,10,discount,True,True,True,True
True,M,40,49000.0,2015,12,27,3,7,7,discount,True,True,True,True
True,M,41,81000.0,2017,8,22,3,7,7,discount,True,True,True,True
False,F,76,47000.0,2018,3,14,10,10,5,bogo,True,True,True,True
True,F,67,93000.0,2013,8,27,2,10,7,discount,True,True,True,False
False,F,47,65000.0,2017,12,21,2,10,10,discount,True,True,True,True
False,F,66,42000.0,2013,9,19,5,5,7,bogo,True,True,True,False
False,M,56,58000.0,2018,3,18,10,10,5,bogo,True,True,True,True
True,F,19,67000.0,2018,1,7,10,10,7,bogo,True,True,False,True
False,F,51,113000.0,2017,4,21,0,0,3,informational,True,True,False,True
False,M,82,37000.0,2018,6,30,2,10,10,discount,True,True,True,True
True,F,118,70598.23,2017,5,29,5,5,5,bogo,True,True,True,True
False,F,55,71000.0,2017,6,27,5,5,5,bogo,True,True,True,True
True,F,84,77000.0,2018,1,25,2,10,10,discount,True,True,True,True
True,M,85,47000.0,2016,1,1,10,10,7,bogo,True,True,False,True
True,M,75,84000.0,2016,3,15,2,10,7,discount,True,True,True,False
False,M,38,37000.0,2018,3,21,0,0,3,informational,True,True,False,True
False,M,46,56000.0,2017,8,25,3,7,7,discount,True,True,True,True
True,F,61,96000.0,2017,9,16,5,5,5,bogo,True,True,True,True
True,M,68,46000.0,2017,10,9,5,20,10,discount,True,False,True,False
False,F,32,43000.0,2017,5,31,0,0,3,informational,True,True,False,True
