,gender,age,income,became_member_on_year,became_member_on_month,became_member_on_day,reward,difficulty,duration,offer_type,email,mobile,web,social,is_offer_completed
0,F,118,70598.23,2017,9,14,10,10,5,bogo,True,True,True,True,False
1,M,39,46000.0,2014,6,15,2,10,10,discount,True,True,True,True,True
2,F,70,97000.0,2015,8,12,5,20,10,discount,True,False,True,False,True
3,F,41,77000.0,2016,4,30,0,0,4,informational,True,True,True,False,False
4,F,69,70000.0,2016,3,27,2,10,7,discount,True,True,True,False,True
5,M,46,38000.0,2017,3,21,3,7,7,discount,True,True,True,True,True
6,M,25,65000.0,2018,4,2,10,10,7,bogo,True,True,False,True,False
7,O,61,98000.0,2016,11,2,0,0,3,informational,True,True,False,True,False
8,F,57,95000.0,2018,5,18,0,0,3,informational,True,True,False,True,False
9,F,56,103000.0,2016,8,4,2,10,10,discount,True,True,True,True,True
10,M,61,33000.0,2013,8,25,10,10,5,bogo,True,True,True,True,False
11,M,45,74000.0,2015,10,27,10,10,5,bogo,True,True,True,True,True
12,F,59,56000.0,2015,9,25,0,0,3,informational,True,True,False,True,False
13,F,118,70598.23,2017,12,4,5,5,5,bogo,True,True,True,True,True
14,F,91,40000.0,2017,11,11,3,7,7,discount,True,True,True,True,True
15,M,23,41000.0,2017,11,19,5,5,5,bogo,True,True,True,True,False
16,F,62,107000.0,2016,9,25,5,5,7,bogo,True,True,True,False,True
17,F,118,70598.23,2017,7,2,5,5,7,bogo,True,True,True,False,True
18,M,55,70000.0,2017,10,11,10,10,5,bogo,True,True,True,True,False
19,M,39,46000.0,2017,9,1,0,0,3,informational,True,True,False,True,False
20,M,87,46000.0,2015,12,8,3,7,7,discount,True,True,True,True,True
21,M,76,34000.0,2014,1,21,10,10,5,bogo,True,True,True,True,False
22,M,64,77000.0,2015,12,3,10,10,5,bogo,True,True,True,True,True
23,F,118,70598.23,2018,1,4,0,0,3,informational,True,True,False,True,False
24,F,118,70598.23,2018,7,15,10,10,5,bogo,True,True,True,True,False
25,M,56,52000.0,2014,8,6,10,10,5,bogo,True,True,True,True,False
26,F,118,70598.23,2016,12,4,2,10,10,discount,True,True,True,True,False
27,M,62,86000.0,2016,11,12,0,0,4,informational,True,True,True,False,False
28,M,97,73000.0,2017,10,29,5,5,5,bogo,True,True,True,True,False
29,M,53,62000.0,2018,5,17,0,0,4,informational,True,True,True,False,False
30,M,64,57000.0,2017,8,31,3,7,7,discount,True,True,True,True,False
